                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98283,                0.37002,                 1.0246,                0.85664,                 0.7558,                0.82628,                0.51653,                 1.3166,                0.50114,                 1.2789,              0.0012914,              0.0012914,              0.0012914
                     36,                 1.0066,                0.37341,                 1.0529,                0.85433,                0.75099,                0.82763,                0.52837,                 1.2912,                0.55571,                 1.2512,              0.0012705,              0.0012705,              0.0012705
                     37,                 1.0011,                0.37819,                 1.0436,                0.87175,                0.80604,                 0.8492,                0.55283,                 1.1941,                0.47831,                  1.189,              0.0012497,              0.0012497,              0.0012497
                     38,                0.98541,                0.38093,                  1.037,                0.83138,                0.80632,                0.84146,                0.54611,                 1.2128,                0.50642,                 1.1961,              0.0012288,              0.0012288,              0.0012288
                     39,                0.95545,                0.35936,                 1.0172,                0.91347,                0.74308,                0.83945,                0.55007,                 1.2242,                 0.5176,                 1.2259,               0.001208,               0.001208,               0.001208
                     40,                 1.0007,                0.37612,                 1.0528,                0.89538,                0.78656,                0.84817,                0.54911,                  1.213,                0.49347,                 1.1977,              0.0011872,              0.0011872,              0.0011872
                     41,                0.99324,                0.37576,                 1.0227,                0.84927,                0.82402,                0.85675,                0.55543,                 1.2214,                0.47165,                 1.2156,              0.0011663,              0.0011663,              0.0011663
                     42,                0.99626,                0.37397,                 1.0474,                0.83541,                0.81818,                0.85206,                0.55627,                 1.2262,                0.49483,                 1.2252,              0.0011455,              0.0011455,              0.0011455
                     43,                0.98892,                0.36816,                 1.0472,                0.87012,                0.82091,                  0.854,                0.54852,                 1.2136,                0.47925,                 1.2097,              0.0011246,              0.0011246,              0.0011246
                     44,                0.96976,                0.35912,                 1.0155,                0.88787,                 0.8137,                0.85229,                0.53474,                  1.271,                0.48644,                 1.2468,              0.0011038,              0.0011038,              0.0011038
                     45,                0.97513,                0.37252,                 1.0259,                0.88583,                0.79447,                0.85229,                0.52821,                 1.2917,                0.48922,                 1.2562,              0.0010829,              0.0010829,              0.0010829
                     46,                0.97759,                0.36964,                  1.027,                0.84683,                0.80632,                0.85523,                0.54049,                 1.2707,                0.47016,                 1.2399,              0.0010621,              0.0010621,              0.0010621
                     47,                0.99026,                0.37505,                  1.043,                0.87044,                0.81818,                0.85511,                0.54272,                 1.2287,                0.46832,                 1.2143,              0.0010413,              0.0010413,              0.0010413
                     48,                0.95022,                0.35263,                 1.0116,                0.88329,                0.81028,                0.85954,                0.54544,                 1.2186,                 0.4737,                 1.1978,              0.0010204,              0.0010204,              0.0010204
                     49,                0.98539,                0.36385,                 1.0261,                0.89406,                0.80058,                0.85558,                0.55326,                 1.2294,                0.47979,                 1.2211,             0.00099958,             0.00099958,             0.00099958
                     50,                 0.9256,                0.34406,                0.99551,                0.89259,                0.77075,                0.85719,                0.55866,                  1.217,                0.46235,                 1.2196,             0.00097874,             0.00097874,             0.00097874
                     51,                0.95937,                0.35193,                 1.0258,                0.88621,                0.80034,                0.85926,                0.54102,                 1.1922,                 0.4643,                  1.192,             0.00095789,             0.00095789,             0.00095789
                     52,                0.94801,                0.34861,                 1.0078,                0.87866,                0.79447,                0.86037,                0.56736,                 1.1669,                0.47619,                  1.179,             0.00093705,             0.00093705,             0.00093705
                     53,                0.98115,                0.37573,                  1.035,                0.89456,                 0.7747,                0.84173,                0.51492,                 1.3073,                0.49912,                 1.2707,             0.00091621,             0.00091621,             0.00091621
                     54,                0.95823,                0.34921,                  1.026,                0.88835,                0.78621,                0.85143,                0.54026,                 1.2159,                 0.4922,                 1.2187,             0.00089537,             0.00089537,             0.00089537
                     55,                 0.9069,                0.34469,                 0.9779,                0.91103,                0.75494,                0.85333,                 0.5541,                 1.2025,                0.48123,                  1.199,             0.00087453,             0.00087453,             0.00087453
                     56,                0.95597,                0.34943,                 1.0065,                0.87975,                0.80969,                0.85126,                0.53751,                 1.2134,                0.47406,                 1.2064,             0.00085368,             0.00085368,             0.00085368
                     57,                 0.9246,                0.34071,                 1.0015,                0.86651,                0.80237,                0.86476,                0.56004,                  1.198,                0.45587,                 1.1977,             0.00083284,             0.00083284,             0.00083284
                     58,                0.91687,                0.33908,                0.97598,                0.87379,                0.81028,                0.86287,                0.55834,                 1.2291,                0.48768,                 1.2206,               0.000812,               0.000812,               0.000812
                     59,                0.93942,                0.35202,                 1.0128,                0.89508,                0.77553,                0.85795,                0.56211,                 1.2129,                0.46818,                  1.222,             0.00079116,             0.00079116,             0.00079116
                     60,                0.91646,                0.33418,                 1.0073,                0.89768,                0.79447,                0.86121,                0.56541,                 1.1991,                0.45672,                 1.2083,             0.00077032,             0.00077032,             0.00077032
                     61,                0.91166,                0.34009,                0.99941,                0.88512,                0.80237,                0.86923,                0.57397,                 1.1787,                 0.4746,                 1.1878,             0.00074947,             0.00074947,             0.00074947
                     62,                0.93455,                0.35636,                 1.0022,                0.87666,                0.81475,                0.86715,                 0.5644,                 1.2093,                0.46068,                 1.1957,             0.00072863,             0.00072863,             0.00072863
                     63,                0.91223,                0.33122,                0.99928,                 0.8918,                0.80237,                0.86269,                0.55342,                 1.2071,                0.46011,                 1.2033,             0.00070779,             0.00070779,             0.00070779
                     64,                0.90476,                0.33259,                0.97452,                0.85408,                0.80975,                0.85216,                0.56365,                  1.187,                0.46962,                 1.1931,             0.00068695,             0.00068695,             0.00068695
                     65,                0.91324,                0.32452,                0.99272,                 0.8991,                 0.7747,                0.85587,                0.56907,                 1.1696,                 0.4643,                 1.1875,             0.00066611,             0.00066611,             0.00066611
                     66,                0.91308,                0.33131,                0.98062,                0.87245,                 0.8111,                0.86264,                0.57772,                 1.1808,                0.46375,                  1.181,             0.00064526,             0.00064526,             0.00064526
                     67,                0.91279,                0.33284,                 1.0034,                0.90558,                0.79609,                0.87235,                0.57482,                 1.1838,                0.46193,                 1.1829,             0.00062442,             0.00062442,             0.00062442
                     68,                0.89472,                0.32008,                0.97559,                 0.8954,                0.81204,                0.87275,                0.56937,                 1.1893,                0.43648,                 1.1958,             0.00060358,             0.00060358,             0.00060358
                     69,                0.89939,                0.32921,                0.98771,                0.89679,                0.82429,                0.87812,                0.56986,                 1.1887,                 0.4431,                 1.1919,             0.00058274,             0.00058274,             0.00058274
                     70,                0.93698,                0.34082,                  1.017,                0.93028,                0.81423,                0.87513,                 0.5803,                 1.1691,                0.43049,                 1.1875,             0.00056189,             0.00056189,             0.00056189
                     71,                0.90683,                0.32604,                0.99175,                0.89896,                0.79051,                0.87272,                0.57406,                 1.1732,                0.43863,                 1.1801,             0.00054105,             0.00054105,             0.00054105
                     72,                0.86838,                0.31387,                0.97087,                0.89141,                0.81113,                0.86787,                0.56386,                 1.1626,                0.42831,                 1.2019,             0.00052021,             0.00052021,             0.00052021
                     73,                0.87597,                0.32002,                0.97493,                0.91326,                0.81423,                0.86047,                0.54678,                 1.2457,                0.44067,                 1.2323,             0.00049937,             0.00049937,             0.00049937
                     74,                0.90358,                0.32105,                  0.994,                0.92327,                0.80854,                0.87269,                0.57071,                  1.132,                0.42122,                 1.1675,             0.00047853,             0.00047853,             0.00047853
                     75,                0.85826,                0.32576,                0.95937,                0.89594,                0.81818,                0.86481,                0.56812,                 1.1819,                0.44284,                 1.1878,             0.00045768,             0.00045768,             0.00045768
                     76,                0.87959,                0.31758,                0.98383,                0.88942,                0.83004,                0.87008,                0.56152,                 1.2031,                0.44884,                 1.1948,             0.00043684,             0.00043684,             0.00043684
                     77,                0.88194,                0.32247,                0.96292,                0.89465,                0.79842,                0.86749,                0.55799,                 1.1765,                0.45444,                 1.1834,               0.000416,               0.000416,               0.000416
                     78,                0.88449,                0.31199,                0.97013,                 0.9312,                0.80243,                0.87806,                0.56944,                 1.2189,                  0.438,                 1.2027,             0.00039516,             0.00039516,             0.00039516
                     79,                0.86692,                0.32402,                 0.9733,                0.90312,                0.81058,                0.87693,                0.59261,                 1.1902,                0.42846,                 1.1986,             0.00037432,             0.00037432,             0.00037432
                     80,                0.84515,                 0.3031,                0.94992,                0.87754,                 0.8214,                0.87512,                0.58321,                 1.1996,                0.43425,                 1.1976,             0.00035347,             0.00035347,             0.00035347
                     81,                0.85508,                0.31159,                 0.9741,                0.89795,                0.81818,                0.87559,                0.57641,                 1.1896,                0.42107,                 1.1889,             0.00033263,             0.00033263,             0.00033263
                     82,                0.85351,                0.30726,                0.94843,                0.88881,                0.82147,                0.87652,                0.57481,                 1.1687,                0.43348,                 1.1714,             0.00031179,             0.00031179,             0.00031179
                     83,                0.85321,                0.30931,                0.95271,                0.90224,                0.81423,                0.86964,                0.57673,                 1.1793,                0.43607,                 1.1919,             0.00029095,             0.00029095,             0.00029095
                     84,                0.84288,                0.30444,                 0.9518,                0.89512,                0.81818,                0.87356,                0.58034,                  1.156,                0.44055,                 1.1813,             0.00027011,             0.00027011,             0.00027011
                     85,                0.86165,                0.31028,                0.97176,                0.91529,                0.81141,                0.86809,                0.58071,                  1.148,                0.43038,                 1.1758,             0.00024926,             0.00024926,             0.00024926
                     86,                0.89501,                0.31953,                0.99373,                0.90677,                 0.7668,                0.86508,                0.56641,                 1.2099,                 0.4634,                 1.2015,             0.00022842,             0.00022842,             0.00022842
                     87,                0.87237,                0.30751,                0.98472,                0.89345,                 0.7954,                 0.8645,                0.56959,                 1.2216,                0.47114,                 1.2096,             0.00020758,             0.00020758,             0.00020758
                     88,                 0.8807,                0.31273,                0.99294,                0.89818,                0.80237,                0.86645,                0.57153,                 1.2153,                0.45914,                 1.2118,             0.00018674,             0.00018674,             0.00018674
                     89,                0.89264,                0.32217,                0.99695,                0.92242,                0.78261,                0.86258,                0.56993,                 1.2237,                0.46595,                  1.225,             0.00016589,             0.00016589,             0.00016589
                     90,                0.85139,                0.30174,                0.97797,                0.91733,                0.78947,                0.87502,                0.57794,                 1.1887,                0.44681,                 1.1972,             0.00014505,             0.00014505,             0.00014505
                     91,                0.87079,                0.30854,                0.98842,                0.87402,                0.82265,                0.86997,                0.56589,                 1.2252,                0.44643,                  1.224,             0.00012421,             0.00012421,             0.00012421
                     92,                0.85963,                0.30945,                0.98724,                0.89546,                0.81028,                0.87124,                 0.5776,                 1.2082,                0.43568,                 1.2312,             0.00010337,             0.00010337,             0.00010337
                     93,                0.86055,                0.29937,                0.97925,                0.91039,                0.80632,                 0.8699,                0.57626,                 1.2055,                 0.4382,                 1.2223,             8.2526e-05,             8.2526e-05,             8.2526e-05
                     94,                0.84467,                0.30021,                0.98024,                0.90243,                0.81423,                0.87174,                  0.573,                 1.2017,                0.44077,                  1.221,             6.1684e-05,             6.1684e-05,             6.1684e-05
                     95,                 0.8245,                0.29054,                  0.962,                0.89838,                0.81423,                 0.8723,                0.57419,                 1.2087,                 0.4399,                 1.2269,             4.0842e-05,             4.0842e-05,             4.0842e-05
