                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.9299,                0.71223,                 1.4057,                0.88732,                0.76923,                0.86131,                0.36609,                 2.0236,                0.68554,                 1.4735,               0.008845,               0.008845,               0.008845
                     37,                  1.916,                0.70918,                 1.3975,                0.89829,                0.77996,                0.86533,                0.36527,                 2.0027,                0.67475,                 1.4628,               0.008812,               0.008812,               0.008812
                     38,                 1.9091,                0.70195,                 1.3944,                0.88021,                0.78354,                0.86205,                0.36008,                 2.0301,                0.67231,                 1.4718,               0.008779,               0.008779,               0.008779
                     39,                 1.9108,                0.69608,                 1.4014,                0.89555,                0.79378,                0.86656,                0.36738,                 1.9903,                0.66381,                 1.4611,               0.008746,               0.008746,               0.008746
                     40,                 1.9156,                0.68676,                 1.4069,                0.90022,                0.77474,                0.85951,                0.35509,                 2.0469,                  0.687,                   1.48,               0.008713,               0.008713,               0.008713
                     41,                 1.9249,                0.69215,                 1.4132,                0.88864,                0.78309,                0.85471,                0.36603,                 2.0071,                0.68681,                 1.4653,                0.00868,                0.00868,                0.00868
                     42,                 1.9211,                 0.6919,                  1.403,                0.90554,                0.79114,                 0.8665,                0.36885,                 1.9738,                0.66322,                 1.4553,               0.008647,               0.008647,               0.008647
                     43,                 1.8999,                0.68963,                 1.3898,                0.90227,                0.78265,                0.86394,                0.36122,                 2.0026,                0.67607,                 1.4628,               0.008614,               0.008614,               0.008614
                     44,                 1.9042,                0.69026,                 1.3907,                0.90583,                0.78846,                 0.8714,                0.37236,                 1.9812,                 0.6479,                 1.4495,               0.008581,               0.008581,               0.008581
                     45,                 1.8959,                0.67112,                 1.3992,                0.90399,                0.78747,                 0.8687,                0.36931,                 1.9892,                0.65428,                 1.4538,               0.008548,               0.008548,               0.008548
                     46,                 1.8833,                0.67848,                 1.3843,                0.91473,                0.78533,                0.87544,                0.37391,                  1.974,                0.64969,                  1.448,               0.008515,               0.008515,               0.008515
                     47,                 1.8996,                 0.6687,                 1.3899,                 0.8961,                0.78757,                  0.869,                 0.3697,                 2.0063,                0.65138,                 1.4578,               0.008482,               0.008482,               0.008482
                     48,                 1.8934,                0.67397,                 1.3942,                0.90964,                0.80277,                0.88337,                0.37256,                 1.9945,                0.63805,                 1.4526,               0.008449,               0.008449,               0.008449
                     49,                 1.8828,                0.66229,                 1.3879,                0.91159,                0.80694,                0.88446,                0.37631,                 1.9903,                0.62942,                 1.4535,               0.008416,               0.008416,               0.008416
                     50,                  1.886,                0.65975,                  1.388,                0.91016,                  0.811,                0.88386,                0.37217,                 2.0152,                0.63056,                 1.4671,               0.008383,               0.008383,               0.008383
                     51,                 1.8916,                0.64908,                 1.3892,                0.91013,                0.80233,                0.88282,                0.37718,                 1.9724,                0.63782,                 1.4434,                0.00835,                0.00835,                0.00835
                     52,                 1.8612,                0.64572,                 1.3744,                0.91298,                0.80859,                0.88946,                0.38354,                 1.9617,                 0.6178,                 1.4413,               0.008317,               0.008317,               0.008317
                     53,                 1.8705,                0.65679,                 1.3822,                0.90735,                0.81172,                0.88814,                0.38083,                 1.9604,                0.62231,                 1.4408,               0.008284,               0.008284,               0.008284
                     54,                 1.8659,                0.63851,                 1.3741,                0.92323,                0.81261,                0.89039,                0.37563,                 1.9846,                0.62333,                 1.4466,               0.008251,               0.008251,               0.008251
                     55,                 1.8692,                0.63896,                 1.3789,                0.91516,                0.80009,                0.88749,                0.37711,                 1.9632,                  0.627,                 1.4348,               0.008218,               0.008218,               0.008218
                     56,                  1.876,                0.64059,                 1.3756,                  0.905,                0.82656,                  0.895,                0.38694,                 1.9639,                0.60573,                 1.4369,               0.008185,               0.008185,               0.008185
                     57,                 1.8659,                0.63782,                 1.3693,                0.90906,                0.80903,                0.89104,                0.38983,                 1.9503,                0.60856,                 1.4341,               0.008152,               0.008152,               0.008152
                     58,                 1.8574,                0.63725,                 1.3728,                0.91207,                0.82109,                0.89611,                0.39066,                 1.9573,                0.61226,                 1.4309,               0.008119,               0.008119,               0.008119
                     59,                  1.861,                0.63335,                 1.3715,                0.92121,                  0.822,                 0.8973,                0.38737,                 1.9645,                0.60249,                  1.431,               0.008086,               0.008086,               0.008086
                     60,                 1.8628,                0.63322,                 1.3752,                0.92114,                 0.8059,                0.89561,                0.38763,                 1.9672,                0.60552,                 1.4345,               0.008053,               0.008053,               0.008053
                     61,                 1.8443,                0.62354,                 1.3702,                0.92482,                 0.8153,                0.90079,                0.39099,                 1.9642,                 0.5929,                 1.4332,                0.00802,                0.00802,                0.00802
                     62,                 1.8523,                0.62244,                 1.3664,                 0.9092,                0.82021,                0.89296,                0.38243,                 1.9692,                0.60611,                 1.4329,               0.007987,               0.007987,               0.007987
                     63,                 1.8443,                0.62545,                 1.3604,                0.91342,                0.82469,                0.89967,                0.39126,                  1.963,                0.59948,                 1.4325,               0.007954,               0.007954,               0.007954
                     64,                 1.8386,                0.62129,                 1.3743,                0.91945,                0.82513,                0.90397,                0.39682,                 1.9286,                0.58242,                 1.4195,               0.007921,               0.007921,               0.007921
                     65,                 1.8427,                0.61868,                 1.3623,                0.92096,                0.83408,                0.90113,                0.38707,                 1.9775,                0.58956,                 1.4348,               0.007888,               0.007888,               0.007888
                     66,                  1.846,                0.61758,                  1.368,                0.92028,                0.82602,                0.90073,                0.38759,                 1.9778,                0.59009,                  1.438,               0.007855,               0.007855,               0.007855
                     67,                 1.8293,                0.60973,                  1.367,                 0.9261,                0.83676,                 0.9141,                0.39871,                 1.9488,                0.58364,                 1.4269,               0.007822,               0.007822,               0.007822
                     68,                 1.8417,                0.60905,                 1.3642,                0.91621,                0.83408,                0.90996,                0.39447,                 1.9521,                0.57708,                  1.426,               0.007789,               0.007789,               0.007789
                     69,                 1.8445,                0.61006,                 1.3741,                0.91373,                0.84317,                0.90614,                 0.3912,                  1.949,                0.58353,                 1.4249,               0.007756,               0.007756,               0.007756
                     70,                 1.8252,                0.61223,                 1.3541,                0.92443,                0.84253,                0.91061,                0.39807,                 1.9401,                0.56996,                   1.42,               0.007723,               0.007723,               0.007723
                     71,                 1.8247,                0.60093,                 1.3518,                0.92931,                 0.8466,                0.91328,                0.39801,                 1.9414,                0.56374,                  1.419,                0.00769,                0.00769,                0.00769
                     72,                 1.8261,                0.60019,                 1.3606,                0.91636,                0.84168,                0.91279,                0.39323,                 1.9617,                0.56721,                 1.4258,               0.007657,               0.007657,               0.007657
                     73,                 1.8276,                0.59843,                  1.358,                0.91714,                0.84615,                0.90971,                0.39365,                 1.9387,                 0.5729,                 1.4189,               0.007624,               0.007624,               0.007624
                     74,                 1.8094,                0.59138,                 1.3413,                0.92242,                0.84347,                0.91204,                 0.3933,                 1.9594,                0.57376,                 1.4292,               0.007591,               0.007591,               0.007591
                     75,                 1.8257,                0.59824,                 1.3584,                0.93134,                0.83318,                 0.9139,                0.40241,                 1.9388,                0.57879,                 1.4175,               0.007558,               0.007558,               0.007558
                     76,                 1.8217,                0.59615,                 1.3592,                0.92828,                 0.8466,                 0.9157,                0.40561,                 1.9273,                0.56771,                 1.4148,               0.007525,               0.007525,               0.007525
                     77,                 1.8048,                0.58329,                 1.3402,                0.92951,                0.83855,                0.91405,                 0.4039,                 1.9407,                0.56872,                   1.42,               0.007492,               0.007492,               0.007492
                     78,                 1.8122,                0.58281,                 1.3411,                0.92838,                0.84063,                0.91076,                0.39463,                 1.9381,                0.56303,                 1.4185,               0.007459,               0.007459,               0.007459
                     79,                 1.8045,                0.58865,                 1.3411,                0.92467,                0.84546,                0.91423,                0.39456,                 1.9428,                0.55706,                   1.42,               0.007426,               0.007426,               0.007426
                     80,                 1.8002,                0.58536,                 1.3467,                0.92526,                0.85262,                0.92165,                0.40128,                 1.9481,                0.55191,                 1.4223,               0.007393,               0.007393,               0.007393
                     81,                 1.8257,                0.58879,                 1.3556,                 0.9358,                0.84615,                0.92142,                0.40147,                 1.9385,                0.55486,                 1.4173,                0.00736,                0.00736,                0.00736
                     82,                 1.8136,                0.57471,                  1.343,                0.93183,                 0.8559,                 0.9183,                0.39597,                 1.9544,                0.55667,                 1.4231,               0.007327,               0.007327,               0.007327
                     83,                 1.7952,                0.57175,                 1.3391,                0.93025,                0.85063,                0.91749,                0.39973,                 1.9472,                0.55426,                  1.419,               0.007294,               0.007294,               0.007294
                     84,                 1.7874,                0.57611,                 1.3279,                0.92411,                0.85505,                0.92068,                0.40328,                 1.9422,                 0.5524,                 1.4157,               0.007261,               0.007261,               0.007261
